5	250ns
64	83ns
48	41ns
80	0ns
24	41ns
64	41ns
9	41ns
9	83ns
9	41ns
1	41ns
8	0ns
5	41ns
17	208ns
1	41ns
8	83ns
4	41ns
1	41ns
8	41ns
4	0ns
1	41ns
8	41ns
5	83ns
1	41ns
8	41ns
5	41ns
1	41ns
8	0ns
5	41ns
20	41ns
3	41ns
1	41ns
8	41ns
5	41ns
3	83ns
20	83ns
48	41ns
48	41ns
9	41ns
12	41ns
9	41ns
12	125ns
1	41ns
8	41ns
4	41ns
1	41ns
8	0ns
4	0ns
64	41ns
64	41ns
88	83ns
10	41ns
1	41ns
8	41ns
4	41ns
1	41ns
8	41ns
6	41ns
1	41ns
8	0ns
4	41ns
20	41ns
18	41ns
18	41ns
36	0ns
32	41ns
1	41ns
8	41ns
35	0ns
36	0ns
1	83ns
8	41ns
4	41ns
1	41ns
8	41ns
4	0ns
1	41ns
8	41ns
4	0ns
1	0ns
8	41ns
4	41ns
20	41ns
12	41ns
24	0ns
15	41ns
20	83ns
12	83ns
24	0ns
15	41ns
20	41ns
20	41ns
1	41ns
8	41ns
16	41ns
32	41ns
29	41ns
1	0ns
8	41ns
4	41ns
1	0ns
8	0ns
4	41ns
20	41ns
1	0ns
8	41ns
16	41ns
32	0ns
18	41ns
20	41ns
1	41ns
8	41ns
16	0ns
17	41ns
20	41ns
1	41ns
8	41ns
16	41ns
20	41ns
20	41ns
18	41ns
18	41ns
36	41ns
32	0ns
32	0ns
64	41ns
49	41ns
1	0ns
8	41ns
5	41ns
1	83ns
8	41ns
5	0ns
1	41ns
8	0ns
5	41ns
1	41ns
8	0ns
5	41ns
1	41ns
8	41ns
5	41ns
1	41ns
8	41ns
5	41ns
1	0ns
8	41ns
5	0ns
1	41ns
8	0ns
5	41ns
1	41ns
8	41ns
5	41ns
1	41ns
8	41ns
5	41ns
1	0ns
8	41ns
5	41ns
1	41ns
8	0ns
5	0ns
1	41ns
8	41ns
5	0ns
1	41ns
8	0ns
5	41ns
1	41ns
8	41ns
5	41ns
1	41ns
8	41ns
5	41ns
1	41ns
8	41ns
5	41ns
1	41ns
8	41ns
5	41ns
1	0ns
8	0ns
5	41ns
1	41ns
8	41ns
5	41ns
1	0ns
8	41ns
5	41ns
1	41ns
8	41ns
5	41ns
1	41ns
8	41ns
5	41ns
11	41ns
3	83ns
11	41ns
2	41ns
18	41ns
11	83ns
11	83ns
11	83ns
11	83ns
64	83ns
200	208ns
72	1208ns
64	166ns
20	41ns
1	41ns
8	83ns
4	41ns
1	41ns
8	41ns
6	41ns
1	41ns
8	41ns
5	41ns
1	41ns
8	0ns
5	41ns
1	41ns
8	0ns
5	41ns
1	0ns
8	0ns
5	41ns
1	41ns
8	41ns
5	0ns
1	0ns
8	0ns
5	41ns
1	0ns
8	41ns
5	41ns
1	41ns
8	0ns
5	41ns
1	0ns
8	41ns
5	0ns
1	41ns
8	0ns
5	41ns
1	41ns
8	41ns
5	0ns
1	41ns
8	41ns
5	41ns
1	41ns
8	41ns
6	41ns
1	41ns
8	41ns
5	41ns
1	41ns
8	41ns
5	41ns
1	41ns
8	41ns
5	0ns
1	0ns
8	0ns
5	0ns
1	0ns
